Pro,Con,Judges,Votes,Win
National Debate Club (NDC) HS,College Prep FK,"Troy Stone																																						Lawrence Zhou																																						Jason Zhao","Con																															Con																															Con","3-0																															CON"
BASIS Peoria Independent AL,Fairmont Prep PP,"Eleyn Xiong																																						Rayan Sengupta																																						Nina Potischman","Pro																															Pro																															Con","2-1																															PRO"
Awty International XZ,Emerald NW,"Katheryne Dwyer																																						Sanjana Balaji																																						Anjali Patel","Pro																															Con																															Con","2-1																															CON"
Fairmont Prep PJ,Harker PY,"Angela Wu																																						Aarya Srinivasan																																						Ashna Gandhi","Con																															Pro																															Pro","2-1																															PRO"
Fairmont Prep MC,Miramonte CC,"William Pirone																																						Aniket Mittal																																						Jenny Liu","Con																															Con																															Con","3-0																															CON"
Palm Harbor ML,Emerald XK,"Mike Liu																																						Mariel Cruz																																						Shania Hunt","Pro																															Pro																															Pro","3-0																															PRO"
Golden State CK,Emerald KL,"Malcolm Davis																																						Sameet Das																																						Kayte Chan","Con																															Con																															Con","3-0																															CON"
Saratoga LT,Vanguard Independent BS,"Troy Stone																																						Lawrence Zhou																																						Jason Zhao","Pro																															Pro																															Pro","3-0																															PRO"
American JP,Archbishop Mitty HK,"Nevan Hanford																																						Akhil Perla																																						Ivan Shah","Pro																															Con																															Pro","2-1																															PRO"
Seven Lakes ME,Canyon Crest SR,"Sky Juinio																																						Anbu Subramanian																																						Ella Yu","Pro																															Pro																															Pro","3-0																															PRO"
Fairmont Prep KT,Milpitas XS,"Malcolm Davis																																						Sameet Das																																						Kayte Chan","Con																															Pro																															Pro","2-1																															PRO"
Emerald OA,Los Altos DD,"Omair Shahid																																						Sadaf Zahoor																																						Milan Suresh","Con																															Con																															Pro","2-1																															CON"
College Prep HS,Harker GV,"Eleyn Xiong																																						Rayan Sengupta																																						Nina Potischman","Pro																															Pro																															Pro","3-0																															PRO"
Leland IK,Flintridge Prep CB,"Mike Liu																																						Mariel Cruz																																						Shania Hunt","Con																															Con																															Con","3-0																															CON"
Leland LC,Dougherty Valley KT,"Sky Juinio																																						Anbu Subramanian																																						Ella Yu","Pro																															Pro																															Pro","3-0																															PRO"
Saratoga RT,Gunn LC,"Ara Mehran																																						Poema Oleas Mekhitarian																																						Anant Agarwal","Con																															Pro																															Con","2-1																															CON"
Fairmont Prep SC,Bellevue SZ,"Pradeep Pitchumani																																						Frida Ramirez																																						Justin Wang","Con																															Con																															Con","3-0																															CON"
Bellarmine  BI,National Debate Club (NDC) IB,"Gabe Rusk																																						William Pirone																																						Aniket Mittal","Con																															Con																															Con","3-0																															CON"
College Prep JL,Harker RG,"Charles Schletzbaum																																						Amogh Janganure																																						Tuyen Le","Con																															Pro																															Pro","2-1																															PRO"
Oakwood GR,Fairmont Prep NP,"Katheryne Dwyer																																						Sanjana Balaji																																						Anjali Patel","Con																															Pro																															Pro","2-1																															PRO"
Interlake YR,Westwood TX,"Ara Mehran																																						Poema Oleas Mekhitarian																																						Anant Agarwal","Pro																															Con																															Con","2-1																															CON"
Vanguard Independent KP,Vista Del Lago BP,"Flora Wang																																						Sergio Martinez																																						Smriti Singh","Pro																															Pro																															Pro","3-0																															PRO"
Dougherty Valley SJ,Westwood AG,"Omair Shahid																																						Sadaf Zahoor																																						Milan Suresh","Con																															Pro																															Con","2-1																															CON"
Nueva RI,Westwood PS,"Flora Wang																																						Sergio Martinez																																						Smriti Singh","Con																															Con																															Con","3-0																															CON"
Fairmont Prep LS,Westridge CM,"Angela Wu																																						Aarya Srinivasan																																						Ashna Gandhi","Pro																															Pro																															Pro","3-0																															PRO"
Brooks Debate Institute BS,Sac Country Day MP,"Nevan Hanford																																						Akhil Perla																																						Ivan Shah","Pro																															Con																															Con","2-1																															CON"
Interlake WZ,Nueva YD,"Charles Schletzbaum																																						Amogh Janganure																																						Tuyen Le","Con																															Con																															Con","3-0																															CON"
Leland MR,Leland JY,,Leland JY advances,Leland JY advances
